target,length,steps,student2_steps,student2_time,student2_correct
10001,5,2,2.0,1.52587890625e-05,1.0
01110,5,2,2.0,1.2874603271484375e-05,1.0
11101,5,2,2.0,1.1920928955078125e-05,1.0
111000,6,4,4.0,3.1948089599609375e-05,1.0
010101,6,2,2.0,1.2159347534179688e-05,1.0
101001,6,2,2.0,1.4066696166992188e-05,1.0
1010110,7,3,3.0,2.3126602172851562e-05,1.0
0101100,7,3,3.0,3.0994415283203125e-05,1.0
1001000,7,3,3.0,2.6941299438476562e-05,1.0
10011000,8,4,4.0,6.4849853515625e-05,1.0
01010000,8,3,3.0,3.600120544433594e-05,1.0
11110101,8,3,3.0,3.695487976074219e-05,1.0
111110111,9,5,5.0,8.082389831542969e-05,1.0
000100110,9,4,4.0,7.700920104980469e-05,1.0
000010110,9,4,4.0,7.772445678710938e-05,1.0
0011010001,10,5,5.0,0.00015091896057128906,1.0
1100000001,10,4,4.0,9.083747863769531e-05,1.0
0011101011,10,5,5.0,0.0001518726348876953,1.0
